"numbers_id","release_date","production_budget","domestic_gross_revenue","worldwide_gross_revenue","year","imdb_id","production_budget_infAdj","domestic_gross_revenue_infAdj","worldwide_gross_revenue_infAdj","profit","profit_infAdj","roi","kim_id","mpaa","sex","violence","language","type","metacritic_rating","tmdb_rating","rt_rating","fa_rating","genres","genre_Action","genre_Adult","genre_Adventure","genre_Animation","genre_Biography","genre_Comedy","genre_Crime","genre_Documentary","genre_Drama","genre_Family","genre_Fantasy","genre_Film.Noir","genre_History","genre_Horror","genre_Music","genre_Musical","genre_Mystery","genre_News","genre_Romance","genre_Sci.Fi","genre_Sport","genre_Thriller","genre_War","genre_Western","genre_.N","genre__NULL","metacritic_rating_Zscore","tmdb_rating_Zscore","rt_rating_Zscore","fa_rating_Zscore","mean_Zscore","metacritic_rating_Norm","tmdb_rating_Norm","rt_rating_Norm","fa_rating_Norm","mean_Norm_score","tmdb_rating_x10","fa_rating_x10","years_since_first","release_season"
1,"2022-12-09",4.6e+08,671997185,2276912834,2022,"tt1630029",496800000,725756959.8,2459065860.72,1816912834,1962265860.72,3.94981050869565,302,"PG-13",4,6,5,"Movie",67,7.7,76,6.8,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728578125784634,1.56316662550778,0.826182906581873,1.23702949862063,1.08873928912373,76.6870118502098,94.0993296043609,62.2981157469717,89.1961934288237,80.5701626575916,77,68,85,"holiday"
2,"2019-04-23",4e+08,858373000,2794731755,2019,"tt4154796",466154738.03952,1000336602.38799,3256943622.85688,2394731755,2790788884.81736,5.9868293875,305,"PG-13",1,6,4,"Movie",78,8.3,94,7.3,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36167743316918,2.28875059818891,1.48214563478472,1.70489156316006,1.70936630732572,91.3350146927448,98.8953076342369,81.6453566621803,95.5892674914809,91.8662366201607,83,73,82,"summer"
3,"2011-05-20",3.79e+08,241071802,1045713802,2011,"tt1298650",508647606.860731,323537190.419272,1403429611.73756,666713802,894782004.876832,1.75913931926121,3884,"PG-13",4,6,4,"Movie",45,6.5,33,5.4,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.537620488984452,0.111998680145529,-0.740839166347157,-0.0729842820897918,-0.309861314318968,29.5419541043141,54.4587773460634,24.1672274562584,47.0909312613008,38.8147225419842,65,54,74,"summer"
4,"2015-04-22",3.65e+08,459005868,1395316979,2015,"tt2395427",451218776.122364,567430317.786146,1724912930.32091,1030316979,1273694154.19855,2.82278624383562,304,"PG-13",3,6,3,"Movie",66,7.3,76,6.3,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.67102364329513,1.0794439770537,0.826182906581873,0.769167434081191,0.836454490252973,74.8897266122274,85.9805072284408,62.2981157469717,77.910303983235,75.2696633927187,73,63,78,"summer"
6,"2015-12-16",3.06e+08,936662225,2064615817,2015,"tt2488496",378282042.44779,1157916665.21795,2552310745.50579,1758615817,2174028703.058,5.7471105130719,4719,"PG-13",1,6,2,"Movie",80,7.3,93,6.7,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.47678639814818,1.0794439770537,1.44570326099568,1.14345708571274,1.28634768047757,93.0133548115599,85.9805072284408,80.4088156123822,87.3575568694503,86.6900586304583,73,67,78,"holiday"
7,"2018-04-25",3e+08,678815482,2048359754,2018,"tt4154756",358146685.235763,810385049.216723,2445377520.21814,1748359754,2087230834.98238,5.82786584666667,306,"PG-13",2,7,4,"Movie",68,8.3,85,7.5,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.786132608274138,2.28875059818891,1.1541642706833,1.89203638897584,1.53027096653054,78.4105098768521,98.8953076342369,71.2230820995962,97.0756933698857,86.4011482451427,83,75,81,"summer"
8,"2007-05-24",3e+08,309420425,960996492,2007,"tt0449088",435478181.811113,449152813.647406,1394976683.54339,660996492,959498501.732279,2.20332164,3881,"PG-13",4,7,3,"Movie",50,7.2,44,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249848076536933,0.958513314940176,-0.339973054667637,0.582022608265417,0.237678698000256,40.13524193918,83.1098009689373,33.8156123822342,71.9724273713081,57.2582706654149,72,61,70,"summer"
9,"2017-11-13",3e+08,229024295,655945209,2017,"tt0974015",365811024.299809,279265373.144972,799839962.629473,355945209,434028938.329665,1.18648403,2702,"PG-13",3,6,4,"Movie",45,6.1,39,5.3,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.537620488984452,-0.371723968308556,-0.522184923612873,-0.166556694997679,-0.39952151897589,29.5419541043141,35.504918881705,29.0965679676985,43.3859435007751,34.3823461136232,61,53,80,"holiday"
10,"2015-10-06",3e+08,200074175,879077344,2015,"tt2379713",370864747.497833,247334861.307374,1086729324.04542,579077344,715864576.547586,1.93025781333333,4646,"PG-13",5,6,3,"Movie",60,6.5,63,6,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.325696748358106,0.111998680145529,0.35243204732426,0.48845019535753,0.319644417796356,62.7673097678389,54.4587773460634,49.8738223418573,68.7384502489278,58.9595899261719,65,60,78,"fall"
12,"2019-12-18",2.75e+08,515202542,1072767997,2019,"tt2527338",320481382.40217,600410265.008262,1250189711.54679,797767997,929708329.144619,2.90097453454545,4721,"PG-13",1,6,2,"Movie",53,6.4,52,5.7,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077184629068421,-0.00893198196799186,-0.0484340643552596,0.207732956633869,0.0182955703105492,46.9238334696285,49.6436702125411,40.8226783310902,58.2281258354906,48.9045769621876,64,57,82,"holiday"
