numbers_id,release_date,production_budget,domestic_gross_revenue,worldwide_gross_revenue,year,imdb_id,production_budget_infAdj,domestic_gross_revenue_infAdj,worldwide_gross_revenue_infAdj,profit,profit_infAdj,roi,kim_id,mpaa,sex,violence,language,type,metacritic_rating,tmdb_rating,rt_rating,fa_rating,genres,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,genre_\N,genre__NULL
1.0,2022-12-09,460000000.0,671997185.0,2276912834.0,2022,tt1630029,496800000.00000006,725756959.8000001,2459065860.7200003,1816912834.0,1962265860.7200003,3.949810508695652,302.0,PG-13,4.0,6.0,5.0,Movie,67.0,7.7,76.0,6.8,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2019-04-23,400000000.0,858373000.0,2794731755.0,2019,tt4154796,466154738.03951997,1000336602.3879921,3256943622.856882,2394731755.0,2790788884.8173623,5.9868293875,305.0,PG-13,1.0,6.0,4.0,Movie,78.0,8.3,94.0,7.3,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2011-05-20,379000000.0,241071802.0,1045713802.0,2011,tt1298650,508647606.8607308,323537190.41927165,1403429611.7375624,666713802.0,894782004.8768315,1.7591393192612137,3884.0,PG-13,4.0,6.0,4.0,Movie,45.0,6.5,33.0,5.4,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2015-04-22,365000000.0,459005868.0,1395316979.0,2015,tt2395427,451218776.1223638,567430317.7861459,1724912930.320915,1030316979.0,1273694154.1985512,2.8227862438356164,304.0,PG-13,3.0,6.0,3.0,Movie,66.0,7.3,76.0,6.3,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.0,2023-05-17,340000000.0,0.0,0.0,2023,tt5433140,340000000.0,0.0,0.0,-340000000.0,-340000000.0,-1.0,,,,,,,,,,,"Action,Crime,Mystery",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.0,2015-12-16,306000000.0,936662225.0,2064615817.0,2015,tt2488496,378282042.4477899,1157916665.2179456,2552310745.505792,1758615817.0,2174028703.0580025,5.747110513071895,4719.0,PG-13,1.0,6.0,2.0,Movie,80.0,7.3,93.0,6.7,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.0,2018-04-25,300000000.0,678815482.0,2048359754.0,2018,tt4154756,358146685.2357632,810385049.2167228,2445377520.2181444,1748359754.0,2087230834.9823813,5.827865846666667,306.0,PG-13,2.0,7.0,4.0,Movie,68.0,8.3,85.0,7.5,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.0,2007-05-24,300000000.0,309420425.0,960996492.0,2007,tt0449088,435478181.8111127,449152813.64740586,1394976683.5433917,660996492.0,959498501.7322791,2.20332164,3881.0,PG-13,4.0,7.0,3.0,Movie,50.0,7.2,44.0,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2017-11-13,300000000.0,229024295.0,655945209.0,2017,tt0974015,365811024.2998085,279265373.1449717,799839962.6294732,355945209.0,434028938.3296647,1.18648403,2702.0,PG-13,3.0,6.0,4.0,Movie,45.0,6.1,39.0,5.3,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,2015-10-06,300000000.0,200074175.0,879077344.0,2015,tt2379713,370864747.49783325,247334861.30737433,1086729324.0454197,579077344.0,715864576.5475864,1.9302578133333332,4646.0,PG-13,5.0,6.0,3.0,Movie,60.0,6.5,63.0,6.0,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11.0,2023-07-12,290000000.0,0.0,0.0,2023,tt9603212,290000000.0,0.0,0.0,-290000000.0,-290000000.0,-1.0,,,,,,,,,,,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12.0,2019-12-18,275000000.0,515202542.0,1072767997.0,2019,tt2527338,320481382.40216994,600410265.0082619,1250189711.5467887,797767997.0,929708329.1446187,2.9009745345454547,4721.0,PG-13,1.0,6.0,2.0,Movie,53.0,6.4,52.0,5.7,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
